Tanggal,Tavg,RH_avg,RR,ss
20-03-2022,23.5,91,3.5,4.5
21-03-2022,23.3,86,1.5,2.3
22-03-2022,23.4,83,9.5,3.1
23-03-2022,24.1,80,1,3.1
24-03-2022,25.1,83,5.5,5.5
25-03-2022,24.4,85,8888,9
26-03-2022,24.3,82,0,1.5
27-03-2022,23.2,88,3,1.6
28-03-2022,23.8,82,4.7,0.7
29-03-2022,23.8,84,5,7.5
30-03-2022,24.8,79,3.4,4.7
31-03-2022,23,92,0,6.1
01-04-2022,22.1,85,21,4.1
02-04-2022,25.1,78,18.3,4.7
03-04-2022,24.3,76,6.2,4.1
04-04-2022,23.7,84,7.5,7.5
05-04-2022,24.3,78,95.7,6.3
06-04-2022,23.9,79,3.5,8
07-04-2022,25.1,77,0.5,5.1
08-04-2022,24.3,84,0,5.6
09-04-2022,24.7,79,26,6
10-04-2022,24.5,77,18.2,6.5
11-04-2022,25,72,0.1,6.2
12-04-2022,24.1,70,0,7.7
13-04-2022,24.1,73,1,7
14-04-2022,24.8,67,0,7.2
15-04-2022,25.5,69,0,9.8
16-04-2022,23,87,,9.8
17-04-2022,25.1,74,42.5,5.5
18-04-2022,24.7,80,0,9
19-04-2022,23.5,88,2.8,4.5
20-04-2022,23.7,83,45,4
21-04-2022,23.5,85,5.6,0.9
22-04-2022,24.5,77,45.5,4.9
23-04-2022,24.9,79,0,6.9
24-04-2022,24.6,89,1.6,7.1
25-04-2022,25.4,81,5.6,5.8
26-04-2022,24.7,79,0,9.2
27-04-2022,24.3,79,0,6
28-04-2022,25.1,80,1.5,5.3
29-04-2022,24.2,80,2.5,6
30-04-2022,24.6,77,4,5.5
01-05-2022,25.5,74,1,4.8
02-05-2022,25,70,0,8.8
03-05-2022,24.5,78,0,10.7
04-05-2022,25,74,9.6,7.8
05-05-2022,25.2,74,0,7.7
06-05-2022,25.2,79,0,5.4
07-05-2022,24.1,85,0.5,5.7
08-05-2022,24.3,82,8888,5.6
09-05-2022,25.4,80,0,5.1
10-05-2022,25.4,82,0,7.5
11-05-2022,25.6,76,8888,5.4
12-05-2022,25.1,82,0,8.3
13-05-2022,25.4,83,4.8,4.6
14-05-2022,25.4,81,0.1,6.4
15-05-2022,25.7,76,10.3,6.2
16-05-2022,25,74,0,9
17-05-2022,24.7,76,0,9.9
18-05-2022,24.6,78,0.2,7.1
19-05-2022,24.6,80,0,6.7
20-05-2022,23.6,92,12.9,6.6
21-05-2022,25.1,77,18.4,2.2
22-05-2022,24.5,72,0,8.3
23-05-2022,24.5,68,0,7.9
24-05-2022,25.7,74,0,9.8
25-05-2022,25.5,78,0,10
26-05-2022,23.1,84,8888,7.9
27-05-2022,23.5,81,1.2,0
28-05-2022,25,73,15.6,0.5
29-05-2022,24.4,80,0,7.3
30-05-2022,25.2,75,0,5.8
31-05-2022,25.5,77,0,9.2
01-06-2022,23.6,90,4.8,9
02-06-2022,23.3,78,8888,0.8
03-06-2022,23.7,79,5.5,6.5
04-06-2022,24.4,81,8888,6.6
05-06-2022,22.8,87,0,8.8
06-06-2022,23.1,87,73.1,5.3
07-06-2022,24,80,0.6,2.6
08-06-2022,23.9,78,0.5,9.2
09-06-2022,24.1,74,0,8.6
10-06-2022,23.9,80,0,4.5
11-06-2022,24.4,82,92.5,6.8
12-06-2022,24,82,1.7,7
13-06-2022,23.7,82,4.4,6.7
14-06-2022,24.3,79,0.8,3.7
15-06-2022,24.5,77,0,7.4
16-06-2022,23.3,90,2.2,9.7
17-06-2022,23.1,85,6.9,2.8
18-06-2022,23.7,80,58.4,3.6
19-06-2022,23.4,84,8888,7.7
20-06-2022,23.2,84,20,8.3
21-06-2022,23.5,78,0,6.3
22-06-2022,24,72,0,7
23-06-2022,23.5,79,0,8
24-06-2022,23.4,80,9.5,6.6
25-06-2022,23.4,79,3.9,7.2
26-06-2022,22.4,92,0,6.3
27-06-2022,22.8,85,23.4,2.8
28-06-2022,23.2,76,0,1.8
29-06-2022,23,63,0,6.7
30-06-2022,24.4,71,0,9
01-07-2022,23,80,0,9.9
02-07-2022,23.8,78,0,6.8
03-07-2022,25,77,17.4,3.8
04-07-2022,24.3,77,0,8.2
05-07-2022,25.2,76,0,9.6
06-07-2022,24,79,,6.1
07-07-2022,23.2,72,0,5.2
08-07-2022,22.3,70,0,9.7
09-07-2022,22.5,71,0,9
10-07-2022,22.7,75,0,7.3
11-07-2022,23.8,77,0,8.2
12-07-2022,23.5,82,0,2.6
13-07-2022,24.2,77,1.9,6.2
14-07-2022,23.9,80,1,8.3
15-07-2022,24,82,0,7.6
16-07-2022,23.3,84,0,4.7
17-07-2022,23.9,77,0,5.2
18-07-2022,23.8,78,0,5.4
19-07-2022,24.2,74,0,6.3
20-07-2022,22.8,70,0,7
21-07-2022,23.3,78,0,10
22-07-2022,23.2,82,0,6.9
23-07-2022,23,82,0,5.1
24-07-2022,22.6,69,0,5.6
25-07-2022,20.1,70,0,7.8
26-07-2022,21.9,66,0,8.7
27-07-2022,24,77,0,10.1
28-07-2022,23.6,75,0,8.9
29-07-2022,22.9,73,,9.7
30-07-2022,22.5,69,0,7.4
31-07-2022,22.8,67,0,9.3
01-08-2022,23,65,0,8
02-08-2022,24,84,0,8.6
03-08-2022,24.3,76,0,0.3
04-08-2022,23.4,68,0.8,8.7
05-08-2022,23.3,60,0,8.8
06-08-2022,23.9,62,0,9.6
07-08-2022,22.5,90,1.5,9.8
08-08-2022,23.2,82,5.1,1.5
09-08-2022,22.8,78,0,3.8
10-08-2022,23.9,81,0,7.5
11-08-2022,24.8,80,0,5.5
12-08-2022,24.9,76,,6
13-08-2022,24.2,78,0,7.6
14-08-2022,24.6,81,15.1,6.5
15-08-2022,24.3,77,0.4,7.7
16-08-2022,24,79,8888,7.7
17-08-2022,23.6,76,18.8,7.2
18-08-2022,23.4,80,0,8.6
19-08-2022,22.7,81,0,8.8
20-08-2022,23.2,76,8888,7.6
21-08-2022,23.6,73,0,8.8
22-08-2022,23.6,78,0,6.8
23-08-2022,22.4,75,0,9
24-08-2022,22.4,74,0,8.4
25-08-2022,23,77,0,9.2
26-08-2022,22.7,80,,7.2
27-08-2022,22.9,80,0,4.6
28-08-2022,22.7,70,0,2.7
29-08-2022,23.4,78,0,5.9
30-08-2022,23.6,86,1.8,8.3
31-08-2022,24.3,76,0.1,4.9
01-09-2022,24.2,77,0,6.4
02-09-2022,25.2,69,0,8.4
03-09-2022,24.3,72,0,9.6
04-09-2022,23.7,78,0,9
05-09-2022,23.8,78,16.4,5.7
06-09-2022,23.6,81,0,2.6
07-09-2022,24.1,83,0,5.2
08-09-2022,23.5,81,11.4,2.9
09-09-2022,23.7,81,0,7.9
10-09-2022,23.4,82,22,3.9
11-09-2022,23.3,90,19.3,4.6
12-09-2022,24.5,68,1,3.8
13-09-2022,24.4,78,,10.2
14-09-2022,24.4,77,0.3,7.8
15-09-2022,23.5,85,28.8,6
16-09-2022,24.5,74,0,3.1
17-09-2022,24.1,72,0,7.9
18-09-2022,23.8,78,0,10.3
19-09-2022,24.6,76,0,8.6
20-09-2022,22.8,87,5,8.7
21-09-2022,23.5,85,0,
22-09-2022,23.8,86,2.1,5
23-09-2022,25,76,2.6,5.6
24-09-2022,24.8,80,0,9
25-09-2022,24,83,17.6,8.3
26-09-2022,24.2,76,0,7.4
27-09-2022,24.1,76,0,7
28-09-2022,24.2,76,0,7.2
29-09-2022,24.2,76,0,8.2
30-09-2022,24.6,81,0.2,7.6
01-10-2022,23.9,87,0.5,4
02-10-2022,23.2,91,15,2.2
03-10-2022,24.3,82,1,3.1
04-10-2022,24.4,80,0,3.9
05-10-2022,23.7,84,0,7
06-10-2022,22.9,92,61.2,4.2
07-10-2022,24.5,83,73.8,2.8
08-10-2022,24.4,85,13.6,4.8
09-10-2022,24.1,87,2,5.4
10-10-2022,23.8,87,88.5,5.8
11-10-2022,24.2,84,4.4,5.3
12-10-2022,23.9,82,0.3,1.2
13-10-2022,23.5,86,1.1,2.8
14-10-2022,24.3,86,0.4,2.5
15-10-2022,23.3,88,24,6.2
16-10-2022,24.6,82,3.1,4.6
17-10-2022,23.7,88,5.4,4.2
18-10-2022,22.2,96,17.4,0
19-10-2022,23.4,85,3,0
20-10-2022,24.2,86,3,3.2
21-10-2022,24,87,20.7,4.2
22-10-2022,24.7,83,64.3,3.4
23-10-2022,23.7,86,1.8,5.6
24-10-2022,24.3,82,52,6.9
25-10-2022,24,85,0,4.5
26-10-2022,22.7,92,12.6,5.8
27-10-2022,23.1,87,27,1.5
28-10-2022,22.8,81,8888,2.8
29-10-2022,22.8,78,0,6.8
30-10-2022,23.8,72,0,6
31-10-2022,23.8,74,0,10.8
01-11-2022,24.3,78,0,9.8
02-11-2022,24.6,87,9.3,6
03-11-2022,26,78,23.5,3.1
04-11-2022,24.7,84,0,10
05-11-2022,24.8,80,12.8,6.7
06-11-2022,24.8,84,8.8,7.6
07-11-2022,24.6,84,13.8,4.4
08-11-2022,24.3,81,2,5.4
09-11-2022,24.1,86,5.8,4.6
10-11-2022,24.3,82,2,0.4
11-11-2022,23.7,92,14.9,3.4
12-11-2022,24.5,83,47.9,3.8
13-11-2022,24.3,84,0,6.1
14-11-2022,24.2,84,5.1,2.7
15-11-2022,24.2,86,46.6,5.8
16-11-2022,23.7,88,4.4,0.6
17-11-2022,23.7,86,4,3.5
18-11-2022,23.5,88,45.6,2.1
19-11-2022,22.7,90,25.5,0.5
20-11-2022,24.2,81,4.2,0.2
21-11-2022,24.2,84,4,2.9
22-11-2022,23.9,88,17.8,5.8
23-11-2022,23.3,87,2.6,3.9
24-11-2022,23,87,49.6,0.9
25-11-2022,23.3,86,21.7,0
26-11-2022,23.6,82,3.7,4.3
27-11-2022,23.1,88,38.5,2.5
28-11-2022,23,86,30.9,3.9
29-11-2022,22.9,92,17.9,4.2
30-11-2022,23.8,86,10.8,1.9
01-12-2022,24.3,80,0,1.8
02-12-2022,23.2,81,0,2.1
03-12-2022,24.2,82,24.9,6
04-12-2022,25,81,1.6,6.9
05-12-2022,24.1,83,1.1,3.3
06-12-2022,25.4,75,0.6,7.5
07-12-2022,26,74,0.7,7.3
08-12-2022,25.7,66,0,9.7
09-12-2022,26.2,66,0,9
10-12-2022,25.3,71,0,11.3
11-12-2022,25.5,74,0,10.6
12-12-2022,25.4,76,0,7
13-12-2022,25.3,78,15.2,7.3
14-12-2022,25.1,79,4.1,6.5
15-12-2022,22.9,89,5,6.5
16-12-2022,22.8,90,73.8,4.9
17-12-2022,24.9,80,1.7,0
18-12-2022,25.4,74,0.6,2.8
19-12-2022,25.2,72,0,11.1
20-12-2022,25.5,70,0,8.1
21-12-2022,25.5,75,1.2,4.9
22-12-2022,23.3,89,0,9
23-12-2022,23.7,83,3.6,0.2
24-12-2022,23,88,30.4,0.4
25-12-2022,22.3,94,10,0.1
26-12-2022,22.9,90,7.8,0.2
27-12-2022,23.1,89,4.3,0
28-12-2022,23.9,86,2.6,0
29-12-2022,24.4,80,37.1,5.3
30-12-2022,24.7,75,18.3,2.2
31-12-2022,25.1,69,0,0.6
01-01-2023,25.1,69,0.1,2.7
02-01-2023,24.7,78,1.6,2.1
03-01-2023,24.6,78,4.4,2.7
04-01-2023,25.4,74,6.2,5.1
05-01-2023,25.2,76,0,7.7
06-01-2023,24.5,82,24.4,7.5
07-01-2023,24.2,82,8.6,2.9
08-01-2023,24.4,78,2.3,8.4
09-01-2023,24.8,71,0,8.5
10-01-2023,25.5,72,0,7.2
11-01-2023,24.8,75,0,11
12-01-2023,25,69,0,9.7
13-01-2023,24.1,74,0,10.3
14-01-2023,24.2,81,0,9.7
15-01-2023,24.4,83,1.5,5.5
16-01-2023,23,90,1,1.9
17-01-2023,24.3,85,11.1,4.6
18-01-2023,24.6,82,20.7,2.4
19-01-2023,23.5,79,0,6.6
20-01-2023,23.3,85,2,4.9
21-01-2023,24.3,80,4.8,3.2
22-01-2023,24.9,78,5.1,4.8
23-01-2023,24.8,76,0,8
24-01-2023,25.2,80,28.3,8.4
25-01-2023,24.1,81,0,3.5
26-01-2023,22.5,94,53,5.6
27-01-2023,23.3,89,18.2,0
28-01-2023,23,92,46.5,0
29-01-2023,23.6,86,23.4,0.6
30-01-2023,24.1,88,15.3,1.7
31-01-2023,24.5,82,0,1
01-02-2023,23.6,88,2.7,0
02-02-2023,24.4,83,8.2,2.2
03-02-2023,25.1,72,4.1,0.8
04-02-2023,24.4,77,0,0.2
05-02-2023,23.5,81,6.1,1.3
06-02-2023,23.2,87,5,0
07-02-2023,23.6,84,15.7,1.3
08-02-2023,24.3,84,16,2.5
09-02-2023,23.2,87,9.5,3.5
10-02-2023,23.7,86,9,2.2
11-02-2023,23.9,83,2.5,4.4
12-02-2023,23.2,86,7,2.2
13-02-2023,23.6,86,11.2,3.4
14-02-2023,24.4,87,13,1.2
15-02-2023,22.4,94,2.1,5.6
16-02-2023,23.3,90,20,0.3
17-02-2023,23.6,86,1.3,1.8
18-02-2023,24.3,84,0.8,0.5
19-02-2023,24,84,0,6.8
20-02-2023,23.8,84,1.3,7.2
21-02-2023,24.2,86,0,5.4
22-02-2023,23.8,84,14.9,7.9
23-02-2023,24.1,84,14.9,3.2
24-02-2023,24.7,81,5.2,3.9
25-02-2023,24.1,82,2.3,2.5
26-02-2023,22.9,83,17,5.6
27-02-2023,24.3,76,19,1.9
28-02-2023,24,82,1.2,1.2
01-03-2023,23.2,87,44.8,2.2
02-03-2023,22.5,91,14.6,4.1
03-03-2023,24.6,81,21,2.9
04-03-2023,23.9,78,0,
05-03-2023,23,86,1.3,5.2
06-03-2023,24.3,84,3.5,3.7
07-03-2023,23.6,69,0,9.6
08-03-2023,23.7,76,0,10
09-03-2023,24.5,74,8.1,6.4
10-03-2023,23.9,78,31.5,8.1
11-03-2023,25.1,76,0.7,7.6
12-03-2023,24.4,70,2.7,8.6
13-03-2023,23.2,74,0,10.3
14-03-2023,23.6,82,0.1,6.1
15-03-2023,24.4,72,22.7,3.7
16-03-2023,24.3,79,0,8.3
17-03-2023,25.1,76,0,6.7
18-03-2023,24.6,81,16.5,4.5
19-03-2023,25.3,78,0,7.2
20-03-2023,24.8,79,0,7.8
21-03-2023,24.9,80,7.3,4.6
22-03-2023,25.5,78,1,9
23-03-2023,24.2,86,3.7,4.8
24-03-2023,23.3,88,3,2.2
25-03-2023,24.3,82,33.6,4.7
26-03-2023,23.8,84,10.2,6.5
27-03-2023,23.5,88,0.4,3.8
28-03-2023,23.5,84,13.1,3.6
29-03-2023,23.9,86,34.9,2.3
30-03-2023,24.3,78,2.1,5.7
31-03-2023,24.2,80,0,4.9
01-04-2023,22.9,86,5.6,2.8
02-04-2023,22.8,89,3.3,0.6
03-04-2023,23.3,86,3.6,1.5
04-04-2023,23.1,91,2.1,3.1
05-04-2023,23.6,86,12.8,3.6
06-04-2023,22.7,91,38.8,5.2
07-04-2023,24.3,82,1.1,2.5
08-04-2023,23.3,80,0,4.1
09-04-2023,24.2,78,1.2,7.7
10-04-2023,23.6,87,0,
11-04-2023,23.9,84,2,4.4
12-04-2023,24.2,86,0,6.1
13-04-2023,22.5,90,4.6,2.6
14-04-2023,23.6,81,1.5,0
15-04-2023,23.6,81,0,6.4
16-04-2023,24.6,80,0,6.2
17-04-2023,24.4,82,0,7.5
18-04-2023,23.9,83,4.5,4.8
19-04-2023,25.4,74,0.8,5.2
20-04-2023,25.5,74,0,
21-04-2023,24.8,81,0,9
22-04-2023,24.2,87,0.9,0
23-04-2023,25.2,78,2.8,4.5
24-04-2023,25.2,79,0.2,8
25-04-2023,25.1,74,0,9.6
26-04-2023,25.4,79,0,
27-04-2023,25.4,79,8.8,5.3
28-04-2023,24.4,84,0,8.9
29-04-2023,23.2,89,9.6,5.4
30-04-2023,24.1,82,10.9,2.1
01-05-2023,24.7,81,0,6
02-05-2023,24.5,83,0.2,6.5
03-05-2023,25.2,78,0,6.8
04-05-2023,25.5,80,0,0
05-05-2023,25.2,78,29.5,7.1
06-05-2023,25.7,81,0,8.2
07-05-2023,24.8,86,49.6,5.7
08-05-2023,24.7,70,2.7,5
09-05-2023,25.3,82,0,9
10-05-2023,24.3,85,5.6,1.2
11-05-2023,24,86,4.1,1
12-05-2023,25.7,83,1.8,2.2
13-05-2023,23.9,78,12.6,6.6
14-05-2023,24.3,68,0,4.7
15-05-2023,23.6,71,0,7
16-05-2023,22.6,75,0,7.8
17-05-2023,23.3,65,0,
18-05-2023,23.1,70,0,9.8
19-05-2023,23.5,71,0,8.2
20-05-2023,23.9,74,0,6.6
21-05-2023,23.8,69,0,8.4
22-05-2023,23.6,70,0,8.7
23-05-2023,24,72,0,9
24-05-2023,24.2,72,0,6.8
25-05-2023,24.9,72,0,8.5
26-05-2023,25.4,68,0,9.6
27-05-2023,23.8,65,0,8.2
28-05-2023,23.5,70,0,9.3
29-05-2023,25.7,64,0,8.3
30-05-2023,25.3,63,0,9.1
31-05-2023,25.6,66,0,8.6
01-06-2023,24.4,70,0,8.5
02-06-2023,24.7,78,0,8.4
03-06-2023,25.5,70,0,7
04-06-2023,24,78,,7.6
05-06-2023,24.3,85,0,6.6
06-06-2023,22.4,91,12.6,6.2
07-06-2023,24.3,85,1,2.8
08-06-2023,24,82,2.6,4.5
09-06-2023,24,80,0,5.8
10-06-2023,23.1,76,0,8.2
11-06-2023,24.3,80,0,7.8
12-06-2023,25.3,81,56.6,5.2
13-06-2023,24.1,83,1,5.2
14-06-2023,24.9,73,0,6.3
15-06-2023,24.3,75,0,8.3
16-06-2023,23.2,76,,6
17-06-2023,23.1,74,0,8.3
18-06-2023,23.2,74,0,9.6
19-06-2023,24.9,75,,8.2
20-06-2023,23.8,77,3.2,7.2
21-06-2023,24.2,73,0.8,7.5
22-06-2023,24,74,0,9.8
23-06-2023,23.4,70,0,8.7
24-06-2023,23.6,72,0,9.2
25-06-2023,23,77,0,7.3
26-06-2023,22.9,78,8888,4.8
27-06-2023,22.7,88,0.2,7
28-06-2023,22.7,90,2,2.8
29-06-2023,24,83,3.4,0.8
30-06-2023,24,83,0,7
01-07-2023,22.7,91,0.8,6.2
02-07-2023,22.7,87,0.6,0
03-07-2023,22.6,84,8888,0.8
04-07-2023,23.1,80,0,3.5
05-07-2023,23.7,84,0,7.8
06-07-2023,24.3,81,8888,2.9
07-07-2023,22.6,92,0.2,3
08-07-2023,23.4,89,1,0
09-07-2023,23.7,82,8888,1.1
10-07-2023,23.3,79,0.1,9.6
11-07-2023,22.7,79,0,7.6
12-07-2023,21.8,78,0,8
13-07-2023,22.8,84,0,9.5
14-07-2023,22.9,78,0,0.4
15-07-2023,23.1,83,0,
16-07-2023,23,77,0,7.7
17-07-2023,22.1,74,0,6.7
18-07-2023,22.3,76,0,9.5
19-07-2023,21.4,74,0,10.3
20-07-2023,22.1,65,0,9.8
21-07-2023,23,67,,10.1
22-07-2023,22.3,76,,8.8
23-07-2023,23.1,71,0,9
24-07-2023,23.2,78,0,9.2
25-07-2023,22.8,74,0,5.6
26-07-2023,23,74,,8
27-07-2023,21.7,67,0,9.8
28-07-2023,22.1,70,0,9.7
29-07-2023,21.4,72,0,8.7
30-07-2023,21.8,76,,10
31-07-2023,22.4,72,0,9.8
01-08-2023,23.7,70,0,8
02-08-2023,24,72,0.1,10.3
03-08-2023,23.3,82,8888,8.8
04-08-2023,22.9,79,0,6.7
05-08-2023,22.8,72,0.2,6.5
06-08-2023,23.7,81,0,9.4
07-08-2023,23.1,73,0,8.8
08-08-2023,22.5,76,0,0
09-08-2023,22.1,69,,9.2
10-08-2023,21.6,73,0,8.9
11-08-2023,22.7,68,0,9.7
12-08-2023,22.3,69,0,10.7
13-08-2023,21.9,70,0,10.8
14-08-2023,22.7,70,0,
15-08-2023,23.5,73,0,9.4
16-08-2023,22.8,71,0.1,9.7
17-08-2023,21.6,76,0,10.4
18-08-2023,21.9,77,0,6.4
19-08-2023,22.1,76,0,4.2
20-08-2023,23.4,69,0,7.6
21-08-2023,22.5,71,0,9
22-08-2023,22.8,76,0,9.6
23-08-2023,22.2,76,0,7.3
24-08-2023,23,73,,8
25-08-2023,23.3,72,,9.5
26-08-2023,23.2,78,0,8.8
27-08-2023,22.7,74,0,9.5
28-08-2023,22.6,71,0,6.5
29-08-2023,23.4,66,,8
30-08-2023,22.9,67,0,9.6
31-08-2023,23.1,74,0,10
01-09-2023,22.5,68,0,7.8
02-09-2023,21.5,66,0,10
03-09-2023,21.5,68,0,9.2
04-09-2023,22.4,63,0,9.2
05-09-2023,22.7,68,0,10
06-09-2023,23.5,73,,7.2
07-09-2023,23.8,74,0,8.8
08-09-2023,22.9,68,,4
09-09-2023,23.9,52,0,9.7
10-09-2023,22.8,78,0,10
11-09-2023,24.4,72,0,8
12-09-2023,24.6,70,0,9
13-09-2023,24,74,0,9.2
14-09-2023,23.5,75,8888,7
15-09-2023,23.4,72,0,3.6
16-09-2023,23.1,77,,9.7
17-09-2023,23.7,79,0,8
18-09-2023,23.4,76,,0.7
19-09-2023,23.4,73,0,5.7
20-09-2023,24.5,63,,6.5
21-09-2023,24.4,59,0,9.9
22-09-2023,23.1,66,0,10.1
23-09-2023,23.5,67,0,9.8
24-09-2023,25.4,63,0,9
25-09-2023,24.7,69,0,9.6
26-09-2023,25.1,55,0,9.2
27-09-2023,24.5,64,0,9.7
28-09-2023,24.9,58,0,9.8
29-09-2023,25.4,72,0,9.9
30-09-2023,25.5,58,,8.2
01-10-2023,25.2,64,0,9.8
02-10-2023,24,70,0,8.6
03-10-2023,24,69,-,9.8
04-10-2023,25,66,-,-
05-10-2023,25.5,77,0,10
06-10-2023,26.5,70,0,9.2
07-10-2023,26.2,68,0,10.2
08-10-2023,25.7,64,0,9.2
09-10-2023,26.5,63,-,9.4
10-10-2023,25.6,72,-,9.8
11-10-2023,25.4,56,0,9.3
12-10-2023,25.8,61,0,10
13-10-2023,25.8,75,0,9.6
14-10-2023,26.3,68,0,7
15-10-2023,26.8,65,-,9.8
16-10-2023,26.4,66,0,9.6
17-10-2023,26.5,64,-,8.7
18-10-2023,25.4,67,0,9
19-10-2023,26.5,56,0,10
20-10-2023,26,68,0,10.3
21-10-2023,27.8,50,0,10.1
22-10-2023,26.1,64,-,8
23-10-2023,27,64,0.2,7.8
24-10-2023,26.2,67,8888,7.9
25-10-2023,25.8,71,0,7.9
26-10-2023,26.3,66,-,6.5
27-10-2023,25.7,69,3.2,7
28-10-2023,25.4,63,0,11.2
29-10-2023,26.6,61,-,10.3
30-10-2023,27.4,64,-,8.1
31-10-2023,27.5,63,-,8.5
01-11-2023,27.9,62,3.5,6.8
02-11-2023,28.8,55,0,7.6
03-11-2023,25.5,80,0,8.8
04-11-2023,24.9,84,56.5,5.3
05-11-2023,27.2,65,62.8,5.2
06-11-2023,27.4,64,-,7
07-11-2023,26.9,71,-,8.8
08-11-2023,28.3,62,0,7.6
09-11-2023,26.2,75,0,10.2
10-11-2023,25.4,78,22.2,6.2
11-11-2023,25.9,75,23.4,5.2
12-11-2023,26.3,72,0,7.6
13-11-2023,26.8,72,0,6.3
14-11-2023,26.1,78,-,7.6
15-11-2023,25.5,82,35.8,6.8
16-11-2023,26.9,73,35,4.8
17-11-2023,26.7,70,0,7.3
18-11-2023,26.5,69,0,9.2
19-11-2023,27.1,68,0,9.2
20-11-2023,27.6,69,0,9.4
21-11-2023,27,74,0,8.4
22-11-2023,27.4,72,2.8,8
23-11-2023,27.7,68,0,6.8
24-11-2023,26.3,76,8888,4.9
25-11-2023,25.6,78,-,2.3
26-11-2023,26.4,73,18.7,3.8
27-11-2023,25.4,78,-,7.8
28-11-2023,24.3,87,29.5,4.1
29-11-2023,25.4,81,6.6,0.1
30-11-2023,25.2,82,8888,2.6
01-12-2023,24.6,85,29.8,5.5
02-12-2023,25,85,5.8,1.8
03-12-2023,25.4,82,2.1,0
04-12-2023,25.1,82,70.9,6
05-12-2023,25.6,81,19.6,4.6
06-12-2023,26,76,7.7,7.8
07-12-2023,26.6,74,3,6.5
08-12-2023,25.7,84,19.9,9.5
09-12-2023,25.9,78,8.8,4.2
10-12-2023,25.8,79,2.1,1.2
11-12-2023,26.3,70,0,3.2
12-12-2023,27.1,72,0,7.6
13-12-2023,25.4,81,0,9.4
14-12-2023,25.5,79,8,5.8
15-12-2023,24.1,82,0.4,1.7
16-12-2023,27,72,4.8,4.2
17-12-2023,26.2,73,-,9.7
18-12-2023,26.3,69,0,10
19-12-2023,25.8,64,0,10
20-12-2023,25.7,65,-,11.1
21-12-2023,26.4,66,-,9
22-12-2023,26.7,68,-,9.2
23-12-2023,27.2,62,1.2,7.1
24-12-2023,27.8,61,-,9.2
25-12-2023,25.6,74,0,8.6
26-12-2023,25.5,82,13,4
